,Sample ID,Lab code,Sampling date,Sample_location,Street No.,Vendor No.,edge_case,Stall_corrected,Stall_corrected_merged,Sample type,Sample information,SARS-CoV-2 qPCR result,Latitude,Longitude,Stall_corrected_latitude,Stall_corrected_longitude,Stall_merged_latitude,Stall_merged_longitude
283,Env_0156,C18,01/01/2020,West,4,16-18,,West|4|16-18,West|4|16-18,Environmental swab,Food container,Negative,30.619427,114.256781,30.619427,114.256781,30.619427,114.256781
285,Env_0157,C19,01/01/2020,West,4,16-18,,West|4|16-18,West|4|16-18,Environmental swab,Food container,Negative,30.619427,114.256781,30.619427,114.256781,30.619427,114.256781
289,Env_0158,C20,01/01/2020,West,4,16-18,,West|4|16-18,West|4|16-18,Environmental swab,Scale,Negative,30.619427,114.256781,30.619427,114.256781,30.619427,114.256781
290,Env_0159,C21,01/01/2020,West,4,16-18,,West|4|16-18,West|4|16-18,Environmental swab,Table top,Negative,30.619427,114.256781,30.619427,114.256781,30.619427,114.256781
291,Env_0160,C22,01/01/2020,West,4,16-18,,West|4|16-18,West|4|16-18,Environmental swab,Sewage,Negative,30.619427,114.256781,30.619427,114.256781,30.619427,114.256781
292,Env_0161,C23,01/01/2020,West,4,16-18,,West|4|16-18,West|4|16-18,Environmental swab,Wall,Negative,30.619427,114.256781,30.619427,114.256781,30.619427,114.256781
293,Env_0162,C24,01/01/2020,West,4,16-18,,West|4|16-18,West|4|16-18,Environmental swab,Ground,Negative,30.619427,114.256781,30.619427,114.256781,30.619427,114.256781
389,Env_0214,D33,01/01/2020,West,4,16-18,,West|4|16-18,West|4|16-18,Environmental swab,Scale,Negative,30.619427,114.256781,30.619427,114.256781,30.619427,114.256781
130,Env_0101,A101,01/01/2020,West,4,19,,West|4|19,West|4|19,Environmental swab,Surface of the door,Positive,30.619365,114.256753,30.619365,114.256753,30.619365,114.256753
131,Env_0102,A102,01/01/2020,West,4,19,,West|4|19,West|4|19,Environmental swab,Ground,Negative,30.619365,114.256753,30.619365,114.256753,30.619365,114.256753
267,Env_0148,C10,01/01/2020,West,4,19,,West|4|19,West|4|19,Environmental swab,Water in fishbowl,Negative,30.619365,114.256753,30.619365,114.256753,30.619365,114.256753
269,Env_0149,C11,01/01/2020,West,4,19,,West|4|19,West|4|19,Environmental swab,Food container,Negative,30.619365,114.256753,30.619365,114.256753,30.619365,114.256753
271,Env_0150,C12,01/01/2020,West,4,19,,West|4|19,West|4|19,Environmental swab,Food container,Negative,30.619365,114.256753,30.619365,114.256753,30.619365,114.256753
273,Env_0151,C13,01/01/2020,West,4,19,,West|4|19,West|4|19,Environmental swab,Ground,Negative,30.619365,114.256753,30.619365,114.256753,30.619365,114.256753
275,Env_0152,C14,01/01/2020,West,4,19,,West|4|19,West|4|19,Environmental swab,Scale,Negative,30.619365,114.256753,30.619365,114.256753,30.619365,114.256753
277,Env_0153,C15,01/01/2020,West,4,19,,West|4|19,West|4|19,Environmental swab,Ground,Negative,30.619365,114.256753,30.619365,114.256753,30.619365,114.256753
279,Env_0154,C16,01/01/2020,West,4,19,,West|4|19,West|4|19,Environmental swab,Water,Negative,30.619365,114.256753,30.619365,114.256753,30.619365,114.256753
281,Env_0155,C17,01/01/2020,West,4,19,,West|4|19,West|4|19,Environmental swab,Wall,Negative,30.619365,114.256753,30.619365,114.256753,30.619365,114.256753
505,Env_0407,F107,01/01/2020,West,4,2-4,,West|4|2-4,West|4|2-4,Environmental swab,Roller shutter,Negative,30.619476,114.256983,30.619476,114.256983,30.619476,114.256983
506,Env_0408,F108,01/01/2020,West,4,2-4,,West|4|2-4,West|4|2-4,Environmental swab,Ground,Negative,30.619476,114.256983,30.619476,114.256983,30.619476,114.256983
507,Env_0409,F109,01/01/2020,West,4,2-4,,West|4|2-4,West|4|2-4,Environmental swab,Roller shutter,Negative,30.619476,114.256983,30.619476,114.256983,30.619476,114.256983
509,Env_0410,F110,01/01/2020,West,4,2-4,,West|4|2-4,West|4|2-4,Environmental swab,Ground,Negative,30.619476,114.256983,30.619476,114.256983,30.619476,114.256983
128,Env_0010,A10,01/01/2020,West,4,20,,West|4|20,West|4|20,Environmental swab,Surface of the door,Negative,30.619419,114.256738,30.61941825,114.256738,30.61941825,114.256738
226,Env_0008,A8,01/01/2020,West,4,20,,West|4|20,West|4|20,Environmental swab,Cashier,Negative,30.619419,114.256738,30.61941825,114.256738,30.61941825,114.256738
237,Env_0009,A9,01/01/2020,West,4,20,,West|4|20,West|4|20,Environmental swab,Surface of packing bag,Negative,30.619419,114.256738,30.61941825,114.256738,30.61941825,114.256738
323,Env_0146,C8,01/01/2020,West,4,20,,West|4|20,West|4|20,Environmental swab,Surface of food,Negative,30.619416,114.256738,30.61941825,114.256738,30.61941825,114.256738
129,Env_0100,A100,01/01/2020,West,4,21,,West|4|21,West|4|21,Environmental swab,Ground,Negative,30.619357,114.256723,30.619357,114.256723,30.619357,114.256723
247,Env_0099,A99,01/01/2020,West,4,21,,West|4|21,West|4|21,Environmental swab,Surface of the door,Negative,30.619357,114.256723,30.619357,114.256723,30.619357,114.256723
245,Env_0097,A97,01/01/2020,West,4,22,,West|4|22,West|4|22,Environmental swab,Surface of the door,Negative,30.619411,114.256708,30.619411,114.256708,30.619411,114.256708
246,Env_0098,A98,01/01/2020,West,4,22,,West|4|22,West|4|22,Environmental swab,Ground,Negative,30.619411,114.256708,30.619411,114.256708,30.619411,114.256708
241,Env_0093,A93,01/01/2020,West,4,23,,West|4|23,West|4|23,Environmental swab,Surface of the door,Negative,30.619353,114.256695,30.619353,114.256695,30.619353,114.256695
242,Env_0094,A94,01/01/2020,West,4,23,,West|4|23,West|4|23,Environmental swab,Ground,Negative,30.619353,114.256695,30.619353,114.256695,30.619353,114.256695
243,Env_0095,A95,01/01/2020,West,4,24,,West|4|24,West|4|24,Environmental swab,Surface of the door,Negative,30.619404,114.256681,30.619404,114.256681,30.619404,114.256681
244,Env_0096,A96,01/01/2020,West,4,24,,West|4|24,West|4|24,Environmental swab,Ground,Positive,30.619404,114.256681,30.619404,114.256681,30.619404,114.256681
139,Env_0011,A11,01/01/2020,West,4,26,,West|4|26,West|4|26,Environmental swab,Water in fishbowl,Negative,30.619371,114.256595,30.619371,114.256595,30.619371,114.256595
150,Env_0012,A12,01/01/2020,West,4,26,,West|4|26,West|4|26,Environmental swab,Surface of mushroom,Negative,30.619371,114.256595,30.619371,114.256595,30.619371,114.256595
153,Env_0013,A13,01/01/2020,West,4,26,,West|4|26,West|4|26,Environmental swab,Surface of food,Negative,30.619371,114.256595,30.619371,114.256595,30.619371,114.256595
154,Env_0014,A14,01/01/2020,West,4,26,,West|4|26,West|4|26,Environmental swab,Surface of packing bag for hairtail,Positive,30.619371,114.256595,30.619371,114.256595,30.619371,114.256595
155,Env_0015,A15,01/01/2020,West,4,26,,West|4|26,West|4|26,Environmental swab,Surface of the door,Positive,30.619371,114.256595,30.619371,114.256595,30.619371,114.256595
236,Env_0089,A89,01/01/2020,West,4,26,,West|4|26,West|4|26,Environmental swab,Surface of the door,Negative,30.619371,114.256595,30.619371,114.256595,30.619371,114.256595
238,Env_0090,A90,01/01/2020,West,4,26,,West|4|26,West|4|26,Environmental swab,Ground,Positive,30.619371,114.256595,30.619371,114.256595,30.619371,114.256595
234,Env_0087,A87,01/01/2020,West,4,28,,West|4|28,West|4|28,Environmental swab,Surface of the door,Positive,30.619363,114.25656,30.619363,114.25656,30.619363,114.25656
235,Env_0088,A88,01/01/2020,West,4,28,,West|4|28,West|4|28,Environmental swab,Ground,Positive,30.619363,114.25656,30.619363,114.25656,30.619363,114.25656
510,Env_0411,F111,01/01/2020,West,4,3,,West|4|3,West|4|3,Environmental swab,Roller shutter,Negative,30.619422,114.256984,30.619422,114.256984,30.619422,114.256984
511,Env_0412,F112,01/01/2020,West,4,3,,West|4|3,West|4|3,Environmental swab,Ground,Negative,30.619422,114.256984,30.619422,114.256984,30.619422,114.256984
239,Env_0091,A91,01/01/2020,West,4,30,,West|4|30,West|4|30,Environmental swab,Surface of the door,Negative,30.619353,114.256522,30.619353,114.256522,30.619353,114.256522
240,Env_0092,A92,01/01/2020,West,4,30,,West|4|30,West|4|30,Environmental swab,Ground,Negative,30.619353,114.256522,30.619353,114.256522,30.619353,114.256522
514,Env_0415,F115,01/01/2020,West,4,5,,West|4|5,West|4|5,Environmental swab,Roller shutter,Negative,30.619413,114.256956,30.619413,114.256956,30.619413,114.256956
515,Env_0416,F116,01/01/2020,West,4,5,,West|4|5,West|4|5,Environmental swab,Ground,Negative,30.619413,114.256956,30.619413,114.256956,30.619413,114.256956
512,Env_0413,F113,01/01/2020,West,4,6,,West|4|6,West|4|6,Environmental swab,Roller shutter,Negative,30.619465,114.25694,30.619465,114.25694,30.619465,114.25694
513,Env_0414,F114,01/01/2020,West,4,6,,West|4|6,West|4|6,Environmental swab,Ground,Negative,30.619465,114.25694,30.619465,114.25694,30.619465,114.25694
148,Env_0118,A118,01/01/2020,West,4,7,,West|4|7,West|4|7,Environmental swab,Surface of the door,Negative,30.619407,114.256926,30.619407,114.256926,30.619407,114.256926
149,Env_0119,A119,01/01/2020,West,4,7,,West|4|7,West|4|7,Environmental swab,Ground,Negative,30.619407,114.256926,30.619407,114.256926,30.619407,114.256926
151,Env_0120,A120,01/01/2020,West,4,8,,West|4|8,West|4|8,Environmental swab,Surface of the door,Negative,30.619457,114.256911,30.619457,114.256911,30.619457,114.256911
152,Env_0121,A121,01/01/2020,West,4,8,,West|4|8,West|4|8,Environmental swab,Ground,Negative,30.619457,114.256911,30.619457,114.256911,30.619457,114.256911
146,Env_0116,A116,01/01/2020,West,4,9,,West|4|9,West|4|9,Environmental swab,Surface of the door,Negative,30.619401,114.256897,30.619401,114.256897,30.619401,114.256897
147,Env_0117,A117,01/01/2020,West,4,9,,West|4|9,West|4|9,Environmental swab,Ground,Negative,30.619401,114.256897,30.619401,114.256897,30.619401,114.256897
325,Env_0147,C9,01/01/2020,West,4,,,West|4|NA,West|4|NA,Environmental swab,Surface of the door,Negative,,,,,,
603,Env_0391,F91,01/01/2020,West,4,X1-X3,,West|4|X1-X3,West|4|X1-X3-X5,Environmental swab,Roller shutter,Negative,30.619442,114.257086,30.619442,114.257086,30.619439,114.2570715
604,Env_0392,F92,01/01/2020,West,4,X1-X3,,West|4|X1-X3,West|4|X1-X3-X5,Environmental swab,Ground,Negative,30.619442,114.257086,30.619442,114.257086,30.619439,114.2570715
605,Env_0393,F93,01/01/2020,West,4,X1-X3,,West|4|X1-X3,West|4|X1-X3-X5,Environmental swab,Roller shutter,Negative,30.619442,114.257086,30.619442,114.257086,30.619439,114.2570715
606,Env_0394,F94,01/01/2020,West,4,X1-X3,,West|4|X1-X3,West|4|X1-X3-X5,Environmental swab,Ground,Negative,30.619442,114.257086,30.619442,114.257086,30.619439,114.2570715
607,Env_0395,F95,01/01/2020,West,4,X2,,West|4|X2,West|4|X2,Environmental swab,Roller shutter,Negative,30.6195,114.257083,30.6195,114.257083,30.6195,114.257083
608,Env_0396,F96,01/01/2020,West,4,X2,,West|4|X2,West|4|X2,Environmental swab,Ground,Negative,30.6195,114.257083,30.6195,114.257083,30.6195,114.257083
499,Env_0401,F101,01/01/2020,West,4,X3-X5,,West|4|X3-X5,West|4|X1-X3-X5,Environmental swab,Roller shutter,Negative,30.619436,114.257057,30.619436,114.257057,30.619439,114.2570715
500,Env_0402,F102,01/01/2020,West,4,X3-X5,,West|4|X3-X5,West|4|X1-X3-X5,Environmental swab,Ground,Negative,30.619436,114.257057,30.619436,114.257057,30.619439,114.2570715
501,Env_0403,F103,01/01/2020,West,4,X3-X5,,West|4|X3-X5,West|4|X1-X3-X5,Environmental swab,Roller shutter,Negative,30.619436,114.257057,30.619436,114.257057,30.619439,114.2570715
502,Env_0404,F104,01/01/2020,West,4,X3-X5,,West|4|X3-X5,West|4|X1-X3-X5,Environmental swab,Ground,Negative,30.619436,114.257057,30.619436,114.257057,30.619439,114.2570715
294,Env_0163,C25,01/01/2020,West,4,X4-X6,,West|4|X4-X6,West|4|X4-X6,Environmental swab,Surface of packing bag for food,Negative,30.619489,114.25704,30.619489,114.25704,30.619489,114.25704
295,Env_0164,C26,01/01/2020,West,4,X4-X6,,West|4|X4-X6,West|4|X4-X6,Environmental swab,Food package in refrigerator,Negative,30.619489,114.25704,30.619489,114.25704,30.619489,114.25704
296,Env_0165,C27,01/01/2020,West,4,X4-X6,,West|4|X4-X6,West|4|X4-X6,Environmental swab,Food package in refrigerator,Negative,30.619489,114.25704,30.619489,114.25704,30.619489,114.25704
297,Env_0166,C28,01/01/2020,West,4,X4-X6,,West|4|X4-X6,West|4|X4-X6,Environmental swab,Food container,Negative,30.619489,114.25704,30.619489,114.25704,30.619489,114.25704
298,Env_0167,C29,01/01/2020,West,4,X4-X6,,West|4|X4-X6,West|4|X4-X6,Environmental swab,Wall,Negative,30.619489,114.25704,30.619489,114.25704,30.619489,114.25704
301,Env_0168,C30,01/01/2020,West,4,X4-X6,,West|4|X4-X6,West|4|X4-X6,Environmental swab,Scale,Negative,30.619489,114.25704,30.619489,114.25704,30.619489,114.25704
302,Env_0169,C31,01/01/2020,West,4,X4-X6,,West|4|X4-X6,West|4|X4-X6,Environmental swab,Ground,Negative,30.619489,114.25704,30.619489,114.25704,30.619489,114.25704
303,Env_0170,C32,01/01/2020,West,4,X4-X6,,West|4|X4-X6,West|4|X4-X6,Environmental swab,Table top,Negative,30.619489,114.25704,30.619489,114.25704,30.619489,114.25704
304,Env_0171,C33,01/01/2020,West,4,X4-X6,,West|4|X4-X6,West|4|X4-X6,Environmental swab,Outside surface of refrigerator,Negative,30.619489,114.25704,30.619489,114.25704,30.619489,114.25704
305,Env_0172,C34,01/01/2020,West,4,X4-X6,,West|4|X4-X6,West|4|X4-X6,Environmental swab,Sewage on floor,Negative,30.619489,114.25704,30.619489,114.25704,30.619489,114.25704
498,Env_0400,F100,01/01/2020,West,4,X6-X4,Was coded backwards,West|4|X4-X6,West|4|X4-X6,Environmental swab,Ground,Positive,30.619489,114.25704,30.619489,114.25704,30.619489,114.25704
609,Env_0397,F97,01/01/2020,West,4,X6-X4,Was coded backwards,West|4|X4-X6,West|4|X4-X6,Environmental swab,Roller shutter,Negative,30.619489,114.25704,30.619489,114.25704,30.619489,114.25704
610,Env_0398,F98,01/01/2020,West,4,X6-X4,Was coded backwards,West|4|X4-X6,West|4|X4-X6,Environmental swab,Ground,Positive,30.619489,114.25704,30.619489,114.25704,30.619489,114.25704
611,Env_0399,F99,01/01/2020,West,4,X6-X4,Was coded backwards,West|4|X4-X6,West|4|X4-X6,Environmental swab,Roller shutter,Negative,30.619489,114.25704,30.619489,114.25704,30.619489,114.25704
248,Env_0122,B1,01/01/2020,West,5,6-8,,West|5|6-8,West|5|6-8,Environmental swab,Cart,Negative,30.619542,114.256901,30.619542,114.256901,30.619542,114.256901
257,Env_0123,B2,01/01/2020,West,5,6-8,,West|5|6-8,West|5|6-8,Environmental swab,Water in fishbowl,Negative,30.619542,114.256901,30.619542,114.256901,30.619542,114.256901
258,Env_0124,B3,01/01/2020,West,5,6-8,,West|5|6-8,West|5|6-8,Environmental swab,Cashier,Negative,30.619542,114.256901,30.619542,114.256901,30.619542,114.256901
259,Env_0125,B4,01/01/2020,West,5,6-8,,West|5|6-8,West|5|6-8,Environmental swab,Basket,Negative,30.619542,114.256901,30.619542,114.256901,30.619542,114.256901
260,Env_0126,B5,01/01/2020,West,5,6-8,,West|5|6-8,West|5|6-8,Environmental swab,Ground,Positive,30.619542,114.256901,30.619542,114.256901,30.619542,114.256901
261,Env_0127,B6,01/01/2020,West,5,6-8,,West|5|6-8,West|5|6-8,Environmental swab,Knief,Negative,30.619542,114.256901,30.619542,114.256901,30.619542,114.256901
262,Env_0128,B7,01/01/2020,West,5,6-8,,West|5|6-8,West|5|6-8,Environmental swab,Fishbow,Negative,30.619542,114.256901,30.619542,114.256901,30.619542,114.256901
218,Env_0072,A72,01/01/2020,West,6,8,,West|6|8,West|6|8,Environmental swab,Surface of the door,Negative,30.619617,114.25686,30.619617,114.25686,30.619617,114.25686
219,Env_0073,A73,01/01/2020,West,6,8,,West|6|8,West|6|8,Environmental swab,Ground,Negative,30.619617,114.25686,30.619617,114.25686,30.619617,114.25686
220,Env_0074,A74,01/01/2020,West,7,1-3,,West|7|1-3,West|7|1-3,Environmental swab,Surface of the door,Negative,30.619659,114.256925,30.619659,114.256925,30.619659,114.256925
221,Env_0075,A75,01/01/2020,West,7,1-3,,West|7|1-3,West|7|1-3,Environmental swab,Ground,Negative,30.619659,114.256925,30.619659,114.256925,30.619659,114.256925
213,Env_0068,A68,01/01/2020,West,7,10,,West|7|10,West|7|10,Environmental swab,Surface of the door,Negative,30.619688,114.256808,30.619688,114.256808,30.619688,114.256808
214,Env_0069,A69,01/01/2020,West,7,10,,West|7|10,West|7|10,Environmental swab,Ground,Negative,30.619688,114.256808,30.619688,114.256808,30.619688,114.256808
171,Env_0003,A3,01/01/2020,West,7,11-13,,West|7|11-13,West|7|11-13,Environmental swab,Surface of the door,Negative,30.619627,114.256779,30.619627,114.256779,30.619627,114.256779
182,Env_0004,A4,01/01/2020,West,7,11-13,,West|7|11-13,West|7|11-13,Environmental swab,Surface of the door,Negative,30.619627,114.256779,30.619627,114.256779,30.619627,114.256779
209,Env_0064,A64,01/01/2020,West,7,11-13,,West|7|11-13,West|7|11-13,Environmental swab,Surface of the door,Negative,30.619627,114.256779,30.619627,114.256779,30.619627,114.256779
210,Env_0065,A65,01/01/2020,West,7,11-13,,West|7|11-13,West|7|11-13,Environmental swab,Ground,Negative,30.619627,114.256779,30.619627,114.256779,30.619627,114.256779
211,Env_0066,A66,01/01/2020,West,7,12-14,,West|7|12-14,West|7|12-14,Environmental swab,Surface of the door,Negative,30.619677,114.256765,30.619677,114.256765,30.619677,114.256765
212,Env_0067,A67,01/01/2020,West,7,12-14,,West|7|12-14,West|7|12-14,Environmental swab,Ground,Negative,30.619677,114.256765,30.619677,114.256765,30.619677,114.256765
127,Env_0001,A1,01/01/2020,West,7,15-17,,West|7|15-17,West|7|15-17,Environmental swab,Surface of the door,Negative,30.619613,114.256724,30.619613,114.256724,30.619613,114.256724
156,Env_0016,A16,01/01/2020,West,7,15-17,,West|7|15-17,West|7|15-17,Environmental swab,Surface of food,Negative,30.619613,114.256724,30.619613,114.256724,30.619613,114.256724
157,Env_0017,A17,01/01/2020,West,7,15-17,,West|7|15-17,West|7|15-17,Environmental swab,Package of aquatic product,Negative,30.619613,114.256724,30.619613,114.256724,30.619613,114.256724
158,Env_0018,A18,01/01/2020,West,7,15-17,,West|7|15-17,West|7|15-17,Environmental swab,Shoe covers and soles,Positive,30.619613,114.256724,30.619613,114.256724,30.619613,114.256724
159,Env_0019,A19,01/01/2020,West,7,15-17,,West|7|15-17,West|7|15-17,Environmental swab,Basket,Negative,30.619613,114.256724,30.619613,114.256724,30.619613,114.256724
160,Env_0002b,A2,01/01/2020,West,7,15-17,,West|7|15-17,West|7|15-17,Environmental swab,Ground,Positive,30.619613,114.256724,30.619613,114.256724,30.619613,114.256724
161,Env_0020,A20,01/01/2020,West,7,15-17,,West|7|15-17,West|7|15-17,Environmental swab,Gloves,Positive,30.619613,114.256724,30.619613,114.256724,30.619613,114.256724
162,Env_0021,A21,01/01/2020,West,7,15-17,,West|7|15-17,West|7|15-17,Environmental swab,Wall,Negative,30.619613,114.256724,30.619613,114.256724,30.619613,114.256724
163,Env_0022,A22,01/01/2020,West,7,15-17,,West|7|15-17,West|7|15-17,Environmental swab,Cart,Negative,30.619613,114.256724,30.619613,114.256724,30.619613,114.256724
207,Env_0062,A62,01/01/2020,West,7,16-18,,West|7|16-18,West|7|16-18,Environmental swab,Surface of the door,Negative,30.619664,114.256708,30.619664,114.256708,30.619664,114.256708
208,Env_0063,A63,01/01/2020,West,7,16-18,,West|7|16-18,West|7|16-18,Environmental swab,Ground,Positive,30.619664,114.256708,30.619664,114.256708,30.619664,114.256708
193,Env_0005,A5,01/01/2020,West,7,19-21,,West|7|19-21,West|7|19-21,Environmental swab,Wall,Negative,30.619599,114.256664,30.619599,114.256664,30.619599,114.256664
204,Env_0006,A6,01/01/2020,West,7,19-21,,West|7|19-21,West|7|19-21,Environmental swab,Surface of packing bag,Negative,30.619599,114.256664,30.619599,114.256664,30.619599,114.256664
215,Env_0007,A7,01/01/2020,West,7,19-21,,West|7|19-21,West|7|19-21,Environmental swab,Surface of the door,Negative,30.619599,114.256664,30.619599,114.256664,30.619599,114.256664
222,Env_0076,A76,01/01/2020,West,7,2-4,,West|7|2-4,West|7|2-4,Environmental swab,Surface of the door,Negative,30.619711,114.25691,30.619711,114.25691,30.619711,114.25691
223,Env_0077,A77,01/01/2020,West,7,2-4,,West|7|2-4,West|7|2-4,Environmental swab,Ground,Negative,30.619711,114.25691,30.619711,114.25691,30.619711,114.25691
205,Env_0060,A60,01/01/2020,West,7,20-22-24,,West|7|20-22-24,West|7|20-22-24,Environmental swab,Surface of the door,Negative,30.619647,114.256635,30.619647,114.256635,30.619643,114.256617
206,Env_0061,A61,01/01/2020,West,7,20-22-24,,West|7|20-22-24,West|7|20-22-24,Environmental swab,Ground,Positive,30.619647,114.256635,30.619647,114.256635,30.619643,114.256617
169,Env_0028,A28,01/01/2020,West,7,23,,West|7|23,West|7|23,Environmental swab,Fishbow,Negative,30.619588,114.256622,30.619588,114.256622,30.619588,114.256622
170,Env_0029,A29,01/01/2020,West,7,23,,West|7|23,West|7|23,Environmental swab,Glove,Negative,30.619588,114.256622,30.619588,114.256622,30.619588,114.256622
172,Env_0030,A30,01/01/2020,West,7,23,,West|7|23,West|7|23,Environmental swab,Knief,Negative,30.619588,114.256622,30.619588,114.256622,30.619588,114.256622
173,Env_0031,A31,01/01/2020,West,7,23,,West|7|23,West|7|23,Environmental swab,Basket,Negative,30.619588,114.256622,30.619588,114.256622,30.619588,114.256622
174,Env_0032,A32,01/01/2020,West,7,23,,West|7|23,West|7|23,Environmental swab,Surface of the door,Negative,30.619588,114.256622,30.619588,114.256622,30.619588,114.256622
200,Env_0056,A56,01/01/2020,West,7,24,,West|7|24,West|7|20-22-24,Environmental swab,Chopping block,Negative,30.619641,114.256608,30.619641,114.256608,30.619643,114.256617
201,Env_0057,A57,01/01/2020,West,7,24,,West|7|24,West|7|20-22-24,Environmental swab,Bone cutting machine,Negative,30.619641,114.256608,30.619641,114.256608,30.619643,114.256617
202,Env_0058,A58,01/01/2020,West,7,24,,West|7|24,West|7|20-22-24,Environmental swab,Surface of the door,Negative,30.619641,114.256608,30.619641,114.256608,30.619643,114.256617
203,Env_0059,A59,01/01/2020,West,7,24,,West|7|24,West|7|20-22-24,Environmental swab,Ground,Negative,30.619641,114.256608,30.619641,114.256608,30.619643,114.256617
198,Env_0054,A54,01/01/2020,West,7,25,,West|7|25,West|7|25,Environmental swab,Surface of the door,Negative,30.619567,114.25653,30.619567,114.25653,30.619567,114.25653
199,Env_0055,A55,01/01/2020,West,7,25,,West|7|25,West|7|25,Environmental swab,Ground,Positive,30.619567,114.25653,30.619567,114.25653,30.619567,114.25653
644,Env_0455,G39,01/01/2020,West,7,25,,West|7|25,West|7|25,Environmental swab,Filter,Negative,30.619567,114.25653,30.619567,114.25653,30.619567,114.25653
196,Env_0052,A52,01/01/2020,West,7,26-28,,West|7|26-28,West|7|26-28,Environmental swab,Surface of the door,Negative,30.619615,114.256501,30.619615,114.256501,30.619615,114.256501
197,Env_0053,A53,01/01/2020,West,7,26-28,,West|7|26-28,West|7|26-28,Environmental swab,Ground,Negative,30.619615,114.256501,30.619615,114.256501,30.619615,114.256501
496,Env_0301,F1,01/01/2020,West,7,26-28,,West|7|26-28,West|7|26-28,Environmental swab,Surface of frozen food,Negative,30.619615,114.256501,30.619615,114.256501,30.619615,114.256501
524,Env_0302,F2,01/01/2020,West,7,26-28,,West|7|26-28,West|7|26-28,Environmental swab,Surface of frozen food,Negative,30.619615,114.256501,30.619615,114.256501,30.619615,114.256501
535,Env_0303,F3,01/01/2020,West,7,26-28,,West|7|26-28,West|7|26-28,Environmental swab,Surface of yellow basket,Negative,30.619615,114.256501,30.619615,114.256501,30.619615,114.256501
546,Env_0304,F4,01/01/2020,West,7,26-28,,West|7|26-28,West|7|26-28,Environmental swab,Surface of frozen food,Negative,30.619615,114.256501,30.619615,114.256501,30.619615,114.256501
557,Env_0305,F5,01/01/2020,West,7,26-28,,West|7|26-28,West|7|26-28,Environmental swab,White foam,Negative,30.619615,114.256501,30.619615,114.256501,30.619615,114.256501
568,Env_0306,F6,01/01/2020,West,7,26-28,,West|7|26-28,West|7|26-28,Environmental swab,Scale,Negative,30.619615,114.256501,30.619615,114.256501,30.619615,114.256501
579,Env_0307,F7,01/01/2020,West,7,26-28,,West|7|26-28,West|7|26-28,Environmental swab,Ground,Negative,30.619615,114.256501,30.619615,114.256501,30.619615,114.256501
590,Env_0308,F8,01/01/2020,West,7,26-28,,West|7|26-28,West|7|26-28,Environmental swab,Sewage on floor,Negative,30.619615,114.256501,30.619615,114.256501,30.619615,114.256501
194,Env_0050,A50,01/01/2020,West,7,27,,West|7|27,West|7|27,Environmental swab,Surface of the door,Negative,30.61956,114.2565,30.61956,114.2565,30.61956,114.2565
195,Env_0051,A51,01/01/2020,West,7,27,,West|7|27,West|7|27,Environmental swab,Ground,Negative,30.61956,114.2565,30.61956,114.2565,30.61956,114.2565
612,Env_0417,G1,01/01/2020,West,7,27,,West|7|27,West|7|27,Environmental swab,Surface of basket,Negative,30.61956,114.2565,30.61956,114.2565,30.61956,114.2565
623,Env_0418,G2,01/01/2020,West,7,27,,West|7|27,West|7|27,Environmental swab,Wall,Negative,30.61956,114.2565,30.61956,114.2565,30.61956,114.2565
634,Env_0419,G3,01/01/2020,West,7,27,,West|7|27,West|7|27,Environmental swab,Table top,Negative,30.61956,114.2565,30.61956,114.2565,30.61956,114.2565
645,Env_0420,G4,01/01/2020,West,7,27,,West|7|27,West|7|27,Environmental swab,Scale,Negative,30.61956,114.2565,30.61956,114.2565,30.61956,114.2565
656,Env_0421,G5,01/01/2020,West,7,27,,West|7|27,West|7|27,Environmental swab,Scissors,Negative,30.61956,114.2565,30.61956,114.2565,30.61956,114.2565
191,Env_0048,A48,01/01/2020,West,7,29,,West|7|29,West|7|29,Environmental swab,Surface of the door,Negative,30.619553,114.256472,30.619553,114.256472,30.619553,114.256472
192,Env_0049,A49,01/01/2020,West,7,29,,West|7|29,West|7|29,Environmental swab,Ground,Negative,30.619553,114.256472,30.619553,114.256472,30.619553,114.256472
613,Env_0426,G10,01/01/2020,West,7,29,,West|7|29,West|7|29,Environmental swab,Wall,Negative,30.619553,114.256472,30.619553,114.256472,30.619553,114.256472
614,Env_0427,G11,01/01/2020,West,7,29,,West|7|29,West|7|29,Environmental swab,Sewage in bucket,Negative,30.619553,114.256472,30.619553,114.256472,30.619553,114.256472
640,Env_0451,G35,01/01/2020,West,7,29,,West|7|29,West|7|29,Environmental swab,Filter,Negative,30.619553,114.256472,30.619553,114.256472,30.619553,114.256472
667,Env_0422,G6,01/01/2020,West,7,29,,West|7|29,West|7|29,Environmental swab,Surface of basket,Negative,30.619553,114.256472,30.619553,114.256472,30.619553,114.256472
678,Env_0423,G7,01/01/2020,West,7,29,,West|7|29,West|7|29,Environmental swab,Scale,Negative,30.619553,114.256472,30.619553,114.256472,30.619553,114.256472
689,Env_0424,G8,01/01/2020,West,7,29,,West|7|29,West|7|29,Environmental swab,Surface of frozen food,Negative,30.619553,114.256472,30.619553,114.256472,30.619553,114.256472
700,Env_0425,G9,01/01/2020,West,7,29,,West|7|29,West|7|29,Environmental swab,Ground,Negative,30.619553,114.256472,30.619553,114.256472,30.619553,114.256472
